date,open,high,low,close,volume
1989-05-11,2.3109,2.3971,2.3109,2.3824,977700
1989-05-12,2.4958,2.4958,2.4391,2.4391,283728
1989-05-15,2.4243,2.4675,2.4107,2.4675,329226
1989-05-16,2.3688,2.3971,2.3540,2.3688,1831626
1989-05-17,2.3971,2.3971,2.3540,2.3824,1134426
1989-05-18,2.3688,2.3824,2.3540,2.3688,710598
1989-05-19,2.3824,2.4391,2.3824,2.4243,1497126
1989-05-22,2.4527,2.5242,2.4527,2.5106,625698
1989-05-23,2.5106,2.5525,2.5106,2.5389,527052
1989-05-24,2.4811,2.4958,2.4675,2.4811,959526
1989-05-25,2.4675,2.4811,2.4527,2.4527,631302
1989-05-26,2.4527,2.4527,2.4243,2.4243,574074
1989-05-30,2.4811,2.4811,2.4527,2.4675,246528
1989-05-31,2.4675,2.4675,2.4391,2.4527,204426
1989-06-01,2.4527,2.4675,2.4527,2.4675,391374
1989-06-02,2.4958,2.5389,2.4958,2.5389,354198
1989-06-05,2.5389,2.5525,2.5242,2.5242,295452
1989-06-06,2.5242,2.5242,2.4958,2.5242,442326
1989-06-07,2.5525,2.6524,2.5525,2.6376,1033398
1989-06-08,2.7794,2.9212,2.7794,2.8498,941352
1989-06-09,2.7227,2.7511,2.7227,2.7227,392574
1989-06-12,2.7080,2.7080,2.6524,2.6524,161478
1989-06-13,2.6807,2.6807,2.6229,2.6660,245700
1989-06-14,2.6660,2.6660,2.6229,2.6229,115800
1989-06-15,2.6093,2.6093,2.5525,2.5945,505152
1989-06-16,2.5809,2.6229,2.5809,2.6093,317676
1989-06-19,2.6093,2.6093,2.5945,2.6093,65874
1989-06-20,2.6524,2.6807,2.6524,2.6807,97128
1989-06-21,2.6807,2.7511,2.6807,2.7227,246024
1989-06-22,2.7363,2.7363,2.6376,2.6376,450978
1989-06-23,2.6524,2.6660,2.6376,2.6524,271326
1989-06-26,2.6524,2.6524,2.6093,2.6524,136176
1989-06-27,2.6376,2.6524,2.6229,2.6376,250098
1989-06-28,2.6524,2.6524,2.6376,2.6376,345348
1989-06-29,2.6524,2.6524,2.5389,2.5525,332448
1989-06-30,2.5242,2.5389,2.4958,2.5389,301728
1989-07-03,2.5106,2.5525,2.5106,2.5525,55674
1989-07-05,2.5525,2.6093,2.5525,2.5945,16452
1989-07-06,2.5945,2.6376,2.5945,2.6229,75726
1989-07-07,2.6524,2.7227,2.6524,2.7227,323448
1989-07-10,2.7511,2.7647,2.7363,2.7511,93378
1989-07-11,2.7511,2.7647,2.7363,2.7647,70800
1989-07-12,2.7511,2.8078,2.7511,2.8078,268950
1989-07-13,2.8078,2.8078,2.7794,2.7794,73002
1989-07-14,2.7942,2.7942,2.7647,2.7942,99150
1989-07-17,2.8078,2.8078,2.7794,2.7794,123948
1989-07-18,2.7647,2.7794,2.7511,2.7647,52800
1989-07-19,2.7363,2.7647,2.7363,2.7363,116802
1989-07-20,2.7647,2.7794,2.7647,2.7647,72150
1989-07-21,2.7511,2.7647,2.7511,2.7511,64500
1989-07-24,2.7227,2.7363,2.7080,2.7227,18150
1989-07-25,2.7227,2.7647,2.7227,2.7511,29028
1989-07-26,2.7647,2.8362,2.7511,2.8362,146526
1989-07-27,2.8645,2.9496,2.8645,2.9496,167250
1989-07-28,2.9065,2.9065,2.8781,2.8781,254850
1989-07-31,2.8929,3.0347,2.8929,3.0347,242976
1989-08-01,3.0063,3.0347,2.9644,2.9644,384576
1989-08-02,2.9916,3.0347,2.9780,3.0199,284076
1989-08-03,3.0063,3.0063,2.9644,2.9916,79800
1989-08-04,2.9644,2.9644,2.9360,2.9644,93198
1989-08-07,2.9496,3.0199,2.9496,3.0063,253998
1989-08-08,3.0630,3.0778,3.0347,3.0347,162648
1989-08-09,3.0347,3.0483,3.0347,3.0483,63150
1989-08-10,3.0063,3.0199,2.9916,3.0199,66048
1989-08-11,3.0347,3.0347,3.0063,3.0199,48900
1989-08-14,3.0199,3.0347,3.0063,3.0199,56352
1989-08-15,3.0199,3.0347,3.0063,3.0063,33774
1989-08-16,3.0347,3.0347,3.0063,3.0063,94224
1989-08-17,3.0063,3.0347,3.0063,3.0347,49224
1989-08-18,3.0347,3.0347,3.0063,3.0199,44826
1989-08-21,3.0199,3.0347,3.0063,3.0063,66552
1989-08-22,3.0199,3.0199,3.0063,3.0063,84552
1989-08-23,3.0063,3.0063,2.9780,2.9916,11028
1989-08-24,2.9780,2.9916,2.9644,2.9644,330252
1989-08-25,2.9644,2.9644,2.9360,2.9360,84378
1989-08-28,2.9496,2.9496,2.9212,2.9212,28002
1989-08-29,2.9496,2.9644,2.9360,2.9644,131574
1989-08-30,2.9644,2.9644,2.9496,2.9496,47700
1989-08-31,2.9212,2.9212,2.8781,2.8929,129198
1989-09-01,2.8362,2.8498,2.8225,2.8362,97452
1989-09-05,2.9065,2.9360,2.8929,2.9212,76578
1989-09-06,2.9212,2.9212,2.8781,2.8929,31224
1989-09-07,2.8645,2.8929,2.8645,2.8781,61452
1989-09-08,2.8808,2.8957,2.8533,2.8670,82848
1989-09-11,2.8670,2.8808,2.8533,2.8670,160098
1989-09-12,2.8670,2.8957,2.8670,2.8808,23928
1989-09-13,2.8957,2.9094,2.8670,2.8670,59748
1989-09-14,2.8533,2.8533,2.7374,2.7523,471024
1989-09-15,2.8383,2.8533,2.7948,2.8246,394428
1989-09-18,2.8097,2.8097,2.7810,2.7810,182028
1989-09-19,2.7810,2.8246,2.7810,2.7948,152124
1989-09-20,2.7810,2.7948,2.7810,2.7810,293898
1989-09-21,2.7523,2.7661,2.7374,2.7523,55674
1989-09-22,2.7523,2.7810,2.7523,2.7523,34800
1989-09-25,2.7374,2.7374,2.7099,2.7099,60426
1989-09-26,2.7661,2.8383,2.7661,2.7948,114426
1989-09-27,2.8097,2.8383,2.8097,2.8383,231252
1989-09-28,2.8097,2.8097,2.7948,2.8097,252648
1989-09-29,2.8383,2.8383,2.8097,2.8097,41424
1989-10-02,2.8097,2.8670,2.8097,2.8670,46176
1989-10-03,2.9244,2.9966,2.9244,2.9966,92874
1989-10-04,2.9817,2.9817,2.9530,2.9530,250098
1989-10-05,2.9244,2.9244,2.8957,2.9244,73500
1989-10-06,2.9530,2.9679,2.9530,2.9679,7800
1989-10-09,2.9817,2.9817,2.9381,2.9679,52974
1989-10-10,2.8246,2.8246,2.6950,2.7374,499200
1989-10-11,2.6663,2.6812,2.5516,2.5941,678000
1989-10-12,2.6090,2.6514,2.5941,2.6514,396474
1989-10-13,2.6663,2.6663,2.3796,2.4083,264024
1989-10-16,2.1789,2.4083,2.1789,2.3510,1061574
1989-10-17,2.3360,2.3360,2.2649,2.2936,591048
1989-10-18,2.2649,2.3074,2.2512,2.3074,333978
1989-10-19,2.3360,2.3945,2.3360,2.3945,155700
1989-10-20,2.3647,2.3647,2.3223,2.3360,193902
1989-10-23,2.3223,2.3360,2.2936,2.2936,416178
1989-10-24,2.2799,2.2799,2.2214,2.2363,187278
1989-10-25,2.2076,2.2363,2.2076,2.2363,284748
1989-10-26,2.2512,2.2512,2.2363,2.2363,216150
1989-10-27,2.2363,2.2512,2.2214,2.2363,97452
